Top 100: Words used by women,,,,Top 100: Words used by men,,,
rank,term,r,p,rank,term,r,p
1,<3,0.3174061266,0,1,wishes he,-0.1740911593,0
2,excited,0.2765532744,0,2,fuck,-0.161386194,0
3,shopping,0.2606278857,0,3,fucking,-0.1360790652,1.7289015053355E-296
4,so excited,0.2542972697,0,4,xbox,-0.1346989735,4.28268253940214E-296
5,love you,0.2409053556,0,5,himself,-0.1250132375,3.34544184729952E-255
6,sooo,0.2238894238,0,6,ps3,-0.1246656294,7.36236664979343E-254
7,her,0.2214167464,0,7,360,-0.122921247,1.06021510303185E-246
8,my hair,0.2140352346,0,8,vs,-0.119876315,4.99072950944626E-234
9,yay !,0.2133463437,0,9,black ops,-0.1169233248,1.5559615173528E-221
10,mommy,0.2106187955,0,10,shit,-0.1164482049,6.99344955256123E-218
11,<3 <3,0.2103891171,0,11,league,-0.1146438325,1.67007645366015E-214
12,i love you,0.2096709288,0,12,my wife,-0.1137679132,3.16615730632397E-210
13,cute,0.2081569196,0,13,. youtube,-0.1131793824,7.43032038541555E-208
14,:(,0.2063781386,0,14,world cup,-0.1129868808,3.31487185038306E-208
15,hair,0.2061012018,0,15,ops,-0.1118391121,9.18443787684745E-203
16,soooo,0.2042722072,0,16,war,-0.1092296311,7.47626947001872E-194
17,boyfriend,0.2039165461,0,17,my girlfriend,-0.107666847,1.75406745028055E-188
18,i miss,0.1977713254,0,18,metal,-0.1067798757,3.08901116435211E-185
19,wonderful,0.1973242659,0,19,win,-0.1063443399,6.45206455877563E-184
20,i love my,0.1956794264,0,20,www,-0.1061238789,3.26940577773678E-183
21,miss,0.1956547008,0,21,his life,-0.1061029718,4.15787611218015E-183
22,so happy,0.1954968442,0,22,fucked,-0.1058508263,3.27219593031116E-180
23,yummy,0.1945675961,0,23,cod,-0.10505106,1.96063300999781E-178
24,i love,0.1941050787,0,24,girlfriend,-0.1032095809,9.87933004865528E-173
25,dress,0.1933489007,0,25,his,-0.1012649835,3.66318597634935E-165
26,:),0.1921719376,0,26,xbox live,-0.1010465953,2.27719140304423E-165
27,with her,0.1918650112,0,27,youtube,-0.0999568566,3.2448539993883E-160
28,yay,0.1909343242,0,28,modern warfare,-0.0990550593,5.61767049653789E-159
29,herself,0.1898246086,0,29,fuckin,-0.098657239,2.80844585478831E-156
30,like it on,0.1895273111,0,30,shave,-0.0981706697,2.43301211431773E-156
31,<3 <3 <3,0.188308047,0,31,xbox 360,-0.0980306726,1.22889683337206E-155
32,mom,0.1847584284,0,32,ftw,-0.097379237,1.87103524502197E-151
33,can't wait,0.1827554162,0,33,warfare,-0.0966059505,4.1002155664168E-151
34,baby,0.181657079,0,34,my xbox,-0.0960022086,4.87297574823819E-149
35,so much,0.1804761433,0,35,fuck you,-0.0953931389,6.43333813927882E-146
36,excited for,0.1791379393,0,36,loves his,-0.095326232,2.82676156170666E-147
37,loved,0.178553773,0,37,nfl,-0.095294406,5.94088584497997E-147
38,birthday,0.1785224139,0,38,beard,-0.0952068228,8.59007921571947E-147
39,she,0.1773042077,0,39,http :/ /,-0.0948339971,1.07807162040347E-145
40,hubby,0.1768085581,0,40,fans,-0.0933351024,1.23839709931311E-140
41,love him,0.1764497967,0,41,his mind,-0.0932704479,7.19671512779136E-141
42,omg,0.1745880044,0,42,government,-0.0926983267,4.56971904090384E-138
43,happy birthday,0.1739917861,0,43,on his,-0.0924212504,2.00362469365237E-137
44,my baby,0.1739619913,0,44,arsenal,-0.0919991812,5.71822543638672E-137
45,she is,0.1733275184,0,45,thinks he,-0.090511815,1.72064991962124E-132
46,chocolate,0.1732426879,0,46,fifa,-0.0903001989,1.08169752087488E-131
47,yay ! !,0.1719960812,0,47,modern,-0.0898262287,1.99598856148173E-130
48,so excited !,0.1710014045,0,48,lebron,-0.088683676,4.50557544786382E-127
49,a wonderful,0.1707584277,0,49,hit me up,-0.0884603467,1.02280086325708E-125
50,i like it,0.1704410871,0,50,championship,-0.0882216032,1.35733457760189E-125
51,sister,0.170280691,0,51,his new,-0.0876496176,7.57946970927621E-124
52,wait to,0.1702332283,0,52,nba,-0.087171539,1.12306924107119E-122
53,loves her,0.1700993908,0,53,of war,-0.0869615178,5.86490354633071E-122
54,much fun,0.1680834785,0,54,dick,-0.0868680515,4.03034213986178E-121
55,wishes she,0.1667866116,0,55,holy shit,-0.0863154872,8.51455288364985E-120
56,miss my,0.1667501647,0,56,call of duty,-0.0857453707,3.21708659223079E-118
57,husband,0.166301269,0,57,halo,-0.0843667254,2.79964388518665E-114
58,miss you,0.1662875347,0,58,album,-0.0836151438,4.01655506834636E-112
59,with my,0.1648401526,0,59,president,-0.0835381327,1.1585019518816E-111
60,loves,0.1637065657,0,60,teams,-0.0824266209,2.94705750595884E-109
61,my family,0.1629967303,0,61,the world cup,-0.0821890848,9.73875905970929E-109
62,girls,0.1629373992,0,62,team,-0.0818049099,1.0598855249585E-107
63,best friend,0.1626742954,0,63,of his life,-0.0816880206,2.18222537675364E-107
64,family,0.1623591336,0,64,engineering,-0.0814313915,1.21174477227461E-106
65,she has,0.1622271235,0,65,what the fuck,-0.0811082306,2.1564847639901E-105
66,am so,0.1619085615,0,66,wins,-0.0806758612,1.15884590810288E-104
67,so cute,0.1608828239,0,67,creed,-0.080455592,6.0689837687599E-104
68,lovely,0.1600331626,0,68,epic,-0.0804520794,1.8347372506299E-100
69,can't wait to,0.1600041996,0,69,match,-0.0801798809,2.7049789809904E-103
70,my husband,0.1597731515,0,70,bastard,-0.0800373174,6.63008946157564E-103
71,proud of,0.1586807297,0,71,victory,-0.0799509295,1.15968721369442E-102
72,i'm so,0.158532528,0,72,hell,-0.0798988518,5.92320938566711E-102
73,sooooo,0.158502377,0,73,gun,-0.0798768237,1.94148134822564E-102
74,miss him,0.1584811913,0,74,champions,-0.0798099134,2.23161662183418E-102
75,i am so,0.1577572651,0,75,fuck yeah,-0.07978451,4.91057073275892E-102
76,cleaning,0.1573920819,0,76,1-0,-0.0796231746,7.36127980841425E-102
77,soo,0.1571761436,0,77,windows 7,-0.0794109258,2.48605821163278E-101
78,i love him,0.157129855,0,78,with his,-0.0792623638,1.65377844346763E-100
79,ugh,0.155347351,0,79,of duty,-0.0792610547,7.56689782160652E-101
80,so much fun,0.1551695797,0,80,fucked up,-0.079178377,6.19381146535392E-100
81,her new,0.154741315,0,81,political,-0.0783035493,8.67888449864337E-098
82,daddy,0.1545330588,0,82,bass,-0.078211575,6.5684981089819E-098
83,so proud,0.1545065422,0,83,of death,-0.0780537096,1.04548333556757E-097
84,wait to see,0.1541138119,0,84,sword,-0.0776547175,1.04972823218109E-096
85,with the girls,0.1528559173,0,85,playoffs,-0.0773446611,6.20642764987893E-096
86,my boyfriend,0.1528030793,0,86,feature,-0.0771548693,2.33508472800313E-095
87,beautiful,0.1526041295,0,87,& feature,-0.0766721235,4.79069561421242E-094
88,nails,0.1521474595,0,88,legend,-0.0765833293,7.22711926717357E-094
89,! <3 <3,0.1520523511,0,89,beer,-0.0761614772,8.72790712861097E-092
90,my mom,0.1509104017,0,90,religion,-0.0754812332,2.88233494976814E-091
91,shopping with,0.150159851,0,91,2-0,-0.0748243423,1.24933135321144E-089
92,bestie,0.1497688055,0,92,god damn,-0.0747688463,4.47715259541183E-089
93,my little,0.1486465125,0,93,pc,-0.0746534803,3.57699576603154E-089
94,loving,0.1485332075,0,94,damn,-0.0740949407,3.21741622806132E-087
95,cookies,0.1483759672,0,95,chuck norris,-0.0738687315,4.27979931701549E-087
96,cry,0.1478877574,0,96,norris,-0.0734466134,4.45882865944979E-086
97,so glad,0.1472142474,0,97,politics,-0.0729469474,6.53471808035745E-085
98,her first,0.146812929,0,98,as fuck,-0.072801827,2.62224225910348E-084
99,i miss my,0.1463230878,0,99,system,-0.0726284257,7.69233021439777E-084
100,";)",0.1457517892,0,100,germany,-0.0725393246,4.50641230919662E-084
